source_key,doi,specimen_id,sample_label,growth_technique,specimen_form,composition_x,composition_accuracy_x,composition_accuracy_semantics,composition_method,temperature_k,source_location,source_pdf_name,source_pdf_sha256,source_hash_status,notes
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct48,MCT 48,LPE,epitaxial_layer,1.000,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"CdTe endpoint specimen"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct83,MCT 83,LPE,epitaxial_layer,0.970,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Cd-rich LPE specimen"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_bulk,bulk,THM,bulk_reference,0.955,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Travelling-heater-method bulk reference"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct51,MCT 51,LPE,epitaxial_layer,0.925,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Cd-rich LPE specimen"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct49,MCT 49,LPE,epitaxial_layer,0.880,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Dual reflectivity and absorption observation specimen"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct47,MCT 47,LPE,epitaxial_layer,0.780,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Lowest-composition specimen with clear reflectivity; also has absorption observation"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct56,MCT 56,LPE,epitaxial_layer,0.710,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Distinct x=0.71 specimen; absorption observation"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct61,MCT 61,LPE,epitaxial_layer,0.710,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Distinct x=0.71 specimen; absorption observation"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct31,MCT 31,LPE,epitaxial_layer,0.620,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Absorption observation"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct67,MCT 67,LPE,epitaxial_layer,0.550,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Absorption observation"
camassel1988,10.1103/PhysRevB.38.3948,camassel1988_mct68,MCT 68,LPE,epitaxial_layer,0.500,0.005,source_reported_standard_accuracy_not_asserted_gaussian_sigma,ionic_microprobe,2,Table_I_page_3950,camassel1988.pdf,,file_library_binary_not_materialized_hash_unavailable,"Lowest-composition Table I specimen; absorption observation"
